time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,"city,region",dist_se,city,country
2011-07-31 01:19:02.690000+00:00,18.522,-72.832,10.0,4.1,mb,25.0,73.8,,1.01,us,usp000j5rz,2014-11-07 01:45:28.367000+00:00,"10 km NNE of Tigwav, Haiti",earthquake,,,,13.0,reviewed,us,us," Tigwav, Haiti",10.0,Tigwav,Haiti
2011-06-24 14:06:45.410000+00:00,18.335,-72.406,10.0,3.5,ml,8.0,177.8,,1.3,us,usp000j3p7,2022-07-19 18:39:36.198000+00:00,"11 km N of Cayes-Jacmel, Haiti",earthquake,,,,,reviewed,us,us," Cayes-Jacmel, Haiti",11.0,Cayes-Jacmel,Haiti
2011-05-12 22:51:12.110000+00:00,18.428,-72.944,10.0,3.9,mwr,17.0,74.1,,1.33,us,usp000j1gg,2014-11-07 01:44:50.105000+00:00,"8 km W of Tigwav, Haiti",earthquake,,,,,reviewed,us,us," Tigwav, Haiti",8.0,Tigwav,Haiti
2011-03-01 09:14:20.720000+00:00,18.537,-72.688,13.8,3.8,ml,17.0,84.5,,1.08,us,usp000hv7b,2022-07-19 07:04:47.385000+00:00,"6 km WNW of Léogâne, Haiti",earthquake,,6.2,,,reviewed,us,us," Léogâne, Haiti",6.0,Léogâne,Haiti
2011-01-31 02:39:23.260000+00:00,18.564,-72.699,10.0,3.2,ml,5.0,180.4,,0.79,us,usp000htw2,2014-11-07 01:43:31.878000+00:00,"9 km NW of Léogâne, Haiti",earthquake,,,,,reviewed,us,us," Léogâne, Haiti",9.0,Léogâne,Haiti
2010-11-12 16:59:00.170000+00:00,18.561,-72.69,10.0,4.5,mb,18.0,100.0,,1.29,us,usp000hpfr,2014-11-07 01:42:54.213000+00:00,"8 km NW of Léogâne, Haiti",earthquake,,,,3.0,reviewed,us,us," Léogâne, Haiti",8.0,Léogâne,Haiti
2010-08-08 11:45:23.990000+00:00,18.449,-73.03,10.0,3.6,ml,8.0,127.6,,1.44,us,usp000hhrv,2014-11-07 01:42:12.147000+00:00,"6 km E of Miragoâne, Haiti",earthquake,,,,,reviewed,us,us," Miragoâne, Haiti",6.0,Miragoâne,Haiti
2010-07-17 07:01:36.500000+00:00,19.601,-73.232,10.0,4.2,mb,56.0,40.2,,0.95,us,usp000hfcq,2014-11-07 01:41:53.764000+00:00,"7 km SSW of Baie de Henne, Haiti",earthquake,,,,27.0,reviewed,us,us," Baie de Henne, Haiti",7.0,Baie de Henne,Haiti
2010-07-08 08:22:43.040000+00:00,19.722,-73.087,10.0,3.7,mb,11.0,129.0,,1.03,us,usp000hf13,2014-11-07 01:41:51.435000+00:00,"10 km NNW of Anse Rouge, Haiti",earthquake,,,,1.0,reviewed,us,us," Anse Rouge, Haiti",10.0,Anse Rouge,Haiti
2010-05-31 10:24:11.570000+00:00,19.784,-72.992,10.0,3.8,ml,10.0,130.6,,0.78,us,usp000hddx,2022-07-16 14:49:23.364000+00:00,"8 km WSW of Arcahaie, Haiti",earthquake,,,,,reviewed,us,us," Arcahaie, Haiti",8.0,Arcahaie,Haiti
